NME_ENDLOC_BAIRRO_CDL;TOTAL_TAX
ABERTA DOS MORR;4203056.32
AGRONOMIA;1363900.54
ANCHIETA;25621380.27
ARQUIPELAGO;2007164.51
AUXILIADORA;32268534.97
AZENHA;18648723.83
BELA VISTA;56689242.56
BELEM NOVO;6569148.58
BELEM VELHO;4300638.93
BOA VISTA;34875653.48
BOA VISTA DO SU;804276.68
BOM FIM;18355207.61
BOM JESUS;5859887.06
CAMAQUA;7776854.17
CAMPO NOVO;2244471.87
CASCATA;1273283.07
CAVALHADA;16663147.36
CEL AP BORGES;1111045.10
CENTRO HISTORIC;90872302.70
CHACARA PEDRAS;20023813.48
CHAPEU DO SOL;918145.35
CIDADE BAIXA;16569066.09
COSTA E SILVA;3524293.51
CRISTAL;29094345.21
CRISTO REDENTOR;22029632.20
ESPIRITO SANTO;4744623.89
EXTREMA;471972.90
FARRAPOS;5675776.71
FARROUPILHA;1991669.02
FLORESTA;29124170.93
GLORIA;7453498.56
GUARUJA;3429299.36
HIGIENOPOLIS;24259216.07
HIPICA;12077850.00
HUMAITA;15790910.73
INDEPENDENCIA;19558803.08
IPANEMA;17697283.37
JAR LEOPOLDINA;4424643.00
JAR SAO PEDRO;8806768.54
JARDIM BOTANICO;15372383.32
JARDIM CARVALHO;10665757.14
JARDIM DO SALSO;9726719.51
JARDIM EUROPA;34322399.16
JARDIM FLORESTA;3478280.16
JARDIM ISABEL;5506034.69
JARDIM ITU;15427079.82
JARDIM LINDOIA;14353234.27
JARDIM SABARA;5822358.88
LAGEADO;1693081.13
LAMI;1010132.12
LOMBA PINHEIRO;10818733.44
MARIO QUINTANA;6866206.07
MEDIANEIRA;8621981.65
MENINO DEUS;52490017.75
MOINHOS VENTO;61356220.68
MONT SERRAT;38505126.85
MORRO SANTANA;7545164.52
NAVEGANTES;22351309.39
NONOAI;11251335.12
PARQUE STA FE;5169728.34
PARTENON;25259801.11
PASSO DA AREIA;24841511.80
PASSO DAS PEDRA;4502147.18
PEDRA REDONDA;6237913.90
PETROPOLIS;104767435.82
PITINGA;424139.76
PONTA GROSSA;3203058.52
PRAIA DE BELAS;16117723.46
RESTINGA;5958271.95
RIO BRANCO;54201594.04
RUBEM BERTA;4302768.27
SANTA CECILIA;8625260.00
SANTA M GORETTI;8004811.01
SANTA TEREZA;14491371.59
SANTANA;27672936.22
SANTO ANTONIO;9292500.50
SAO CAETANO;267578.65
SAO GERALDO;24721848.53
SAO JOAO;27096754.71
SAO SEBASTIAO;11121002.01
SARANDI;46920777.33
SERRARIA;973623.33
SETIMO CEU;2540276.62
STA ROSA LIMA;6628265.27
TERESOPOLIS;13603983.09
TRES FIGUEIRAS;36409257.20
TRISTEZA;22327324.25
VIAMAO;4075.35
VILA ASSUNCAO;10112104.00
VILA CONCEICAO;2959290.58
VILA IPIRANGA;12017316.25
VILA JARDIM;10425832.78
VILA NOVA;16010660.51
VILA SAO JOSE;3828421.05
VL JOAO PESSOA;2785812.17
